user_name,description,text,place,gender
"Divas, MPH","Empowering women to take an active interest in achieving and maintaining total health & wellness for themselves, their families, and their communities!","Q3: For any survivors chatting with us tonight, how did you find out you had breast cancer?",DC | ATL,2
boobstagramm,"Show her breasts on the web is right, show them to the doctor is better!   photo : boobstagramm@gmail.com",Using physical therapy to recover after breast cancer surgery - KPAX-TV https://t.co/MUa4S3Y2Dd,Los Angeles,2
BPSPORTS,This is your home for All things Bronx Prep Athletics,RT @DPBronxPrepHS: Cheering for Breast Cancer Awareness.  Let's Go! 👏🏽👏🏽Survivors👏🏽👏🏽 #DPPSCivics https://t.co/uVJPGTmMdF,"Bronx, NY",2
"Diana Hoppe, M.D.","Dr. Hoppe is an #ObGyn and Founder of #VibrantlyYouSymposium 2014 #Tennis player, Lifestyle Coach, #author #womenshealth advocate",8 Things You Need to Know about Breast Cancer 🎀 Dr Diana's Newsletter [New] - https://t.co/oqgX3j6bPY,"Encinitas, CA",1
Sandra Ceccato,,@NancyQVC  Bought a pair of shoes today at 50% off; what a steal; shout out to my husband Geno who 5 year survivor of breast cancer! Hi Jane,"Las Vegas, NV",1
Beth,"Police/Fire/EMS Dispatcher, Owner of @photos_Beth **My tweets are my own & don't reflect my dept**","RT @NYPDPSA5: Fighting crime, while spreading the message of breast cancer awareness #NYPDBlueGoesPink http://t.co/PALCZT8JGd","Title Town, MA ",1
Michael Agosto,Progress comes from the willingness to be puzzled by that which seems obvious.,@americanche15 we had a monologuing bible group at one corner of campus and a pushy breast cancer awareness fundraiser at the other.,"Bushkill, PA",0
Chris J Bradshaw,"Improve your digestion, eat more healthily, get in better shape & have more energy with tips & support from expert Health Coach Chris J Bradshaw. Stay POSITIVE+",30% OFF our breast cancer screening package! https://t.co/PkJ1XiUCMs https://t.co/acOWRrKJIi,"HK, Macau, South China",-1
erin mccann,Photo person. Editor. Lover of Scrabble. Collector of old things and memories. Translates English to American for @guardianUS.,"'Captain, we're sure to win the NYPD breast cancer decoration contest this year!' https://t.co/kCqma52L2Z",Brooklyn,1
banksy ...with a gun,"i am what i am, a natural disaster",that one breast cancer post fucks me up please warn me if u post it bc it rly triggers me lol,"San Francisco, CA",-1
faateamah ibraheem,Life has its Highs Lows let's try to Live the moment with Belief We attain Eternal bliss. Spread love,RT @mercola: 90% of breast cancer cases appear to be triggered by environmental factors. https://t.co/3E2gnFcmyF https://t.co/ke4Ps7RNeM,London ,1
JennaLaineBucs,"Tampa Bay Buccaneers Insider & Radio Co-Host - Sports Talk 1040 The Team, M-F 3-6 pm | Sideline Reporter - @USFFootball | Bucs Correspondent - FOX Sports 1","Former Bucs, now Bengals DE Michael Johnson is helping those battling breast cancer with his #WigWednesday. Details: https://t.co/CXlHcAXmVv","Tampa, FL",-1
✨ Misha ✨,"Hi, I love drag queens. Aries + INFP.
I'm a quiet agender vegan.",I mean good point about breast cancer awareness and all that but did I need to fucking see that? Nope nope nope nope,♡ Manchester / {Birmingham} ♡,-1
XOCO Restaurant,...by Chef @Rick_Bayless. Order Online! Pick-Up and Delivery,"Xoco's hibiscus glazed churro, with a portion of each sale donated to Susan G. Komen for breast cancer research! https://t.co/yOjxMknAto",Chicago,2
"Ashlie James, RN CNC","Mother of two surfers, lover of travel, great food & people watching. http://t.co/mtUZiXE82I http://t.co/xbG4enDk1U",Alcohol Intake May up Breast Cancer Risk: Study - NDTV https://t.co/ENhXOlaWpC,Florida,1
Mark Mehlhorn,,"@Furious85Arts @VigilanteAdrian uuum yah bitches.. breast cancer awareness, too.2015 calling...move along, like you know you should.!!","Oregon, USA",0
L Kimiko,I love healthy food that tastes wonderful and looks great! I love to share fun ideas! I make the best with what I have in life.,"RT @davelackie: It's our final #BCAstrength Breast Cancer Awareness Month Twitter giveaway! To enter, follow @davelackie &amp; RT https://t.co/…",United States,-1
Rick Insell,The Official Twitter page of Middle Tennessee State University Head Women's Basketball Coach Rick Insell,RT @MT_WBB: Jess Louro and Alex Smith volunteered with #PhiBetaSigma for their breast cancer walk this morning! #TRUEService https://t.co/n…,"Murfreesboro, TN",0
Willem Vedovi Today,Willem Vedovi G+ https://t.co/8CT9ux5xnw FB https://t.co/B5BxKYwuuw YT https://t.co/oyL538gmin #willemvedovi,RT https://t.co/cMFOyeMkU3 Nail Art Gallery - Breast Cancer Awareness Im doing this for the walk next year....don… https://t.co/qxbbCrv5Af,Belgium,2
Bel Air H.P. Magnet ,"Open to ALL the students in EP Region, offering 7 Certs. to those interested in Physical Therapy,  E.M.T, LVN, Dental, Vet Tech, Medical Billing, &Pharmacy Tech",Mr Cano breast Cancer Survivor  @YsletaISD @belairargus #UILPicMe @JoshNovillero1 @BeauBagley @elpasotimes @NASSP https://t.co/wWHXWrLNx5,"El Paso, TX ",2
Jake Hillmeyer,I'm a College Student that wants to support the fight against cancer. Too many people are dying. Please support me and join the fight! Thank you.,Think Pink: Winning the battle against breast cancer: So many of us have been touched by breast cancer. The di... https://t.co/CXbijz8zMh,Florida,0
Cancer Review,Your source for the latest news on Cancer,Bras used to raise breast cancer awareness - WCSH-TV https://t.co/xNEMUUm9U9,"USA, Pennsylvania",2
Ashley Phillips,Proud mother of 4. Married 15 years. Fighting cancer for my husband and kids. #BreastCancer Reasearch Advocate,Helping others helps breast cancer survivors https://t.co/vSKioaSlPc #breastcancer,"Rolla, MO",0
Cancer Update,Your source for the latest news on   Cancer,Bras used to raise breast cancer awareness - WCSH-TV https://t.co/IElilZ97SO,Newcastle,2
emazeMe Pleasant Hil,"Follow what's happening in Pleasant Hill & sign up on emazeMe where you can add, share & make lists of your favorite local businesses at http://t.co/zanW8tBUgt",RT @diablovalleyonc: Thank you to all of our speakers at #facingbreastcancer The many faces of breast cancer.,"Pleasant Hill, CA",2
SLICK D,PARTY PROMOTER (CLUB MANAGER),Was a excellent event 2day S/O 2 @fashiongeekzo romerosparks  for having me apart of it Breast Cancer… https://t.co/fwZ5kEobWf,UNIVERSAL,-1
Jessica Olsen,I am a wife and mother of two amazing children & a three time Cancer survivor! Looking to take my health and life back becoming a nurse!,Nail Art Gallery - Breast Cancer Awareness Im doing this for the walk next year....don't you think i https://t.co/OjmSdc6y3N,"Lodi, CA",1
Choice Skinner,Darkan Entertainment is an independent film and media company formed in 2010.  Its objective is to bring quality media and content to film and television.,Momma Bev and I on the Pink Carpet at Sheen Magazine's event for Breast Cancer. #sheenmagazine… https://t.co/418YhH8XtW,"Van Nuys, CA",2
Jacob Lecor,I like turtles. For business inquiries contact me at speedylecorbusiness@gmail.com,"Come join @xCODFATHER4x’s and @KevinLaSean’s Breast Cancer Awareness Stream!!
https://t.co/No712PQenv",Connecticut,0
B.D.Mitchell,"Historian of science. Graduate student York University. Nietzsche, science, and medicine. Science, literature, and the occult. Editor of Beyond Borderlands.",Photoset: malformalady: 25-year-old comedian Nikki Black underwent a double-mastectomy for breast cancer.... https://t.co/XyLeutovyc,Toronto,-1
Mizuki OG!,Verified acct of MizukiOG! ➡,RT @makiperry: #Breastcancer survivors in #Everett invited to Free yoga classes in Oct @bodynbrainyoga @KING5Seattle click: https://t.co/v9…,"Honolulu, HI",-1
Mizuki OG!,Verified acct of MizukiOG! ➡,RT @gumbie315: #Breastcancer survivors in #Seattle invited to Free yoga classes in Oct @bodynbrainyoga @NWCN click: https://t.co/c75V4IRKJD,"Honolulu, HI",-1
Dayanara,"I thank God everyday for all his blessings. I absolutely love my children. I love: my family, my bff, life, to challenge myself to learn something new everyday.",RT @JulieDaniluk: Eat Well To Reduce the Risk of #Breast #Cancer by @JulieDaniluk https://t.co/6ajwhlZ1aA https://t.co/lEFzQG3DeX,"Houston, TX",1
Mizuki OG!,Verified acct of MizukiOG! ➡,RT @gumbie315: #Breastcancer survivors in #Seattle invited to Free yoga classes in Oct @bodynbrainyoga @KIRO7Seattle click: https://t.co/c7…,"Honolulu, HI",-1
cam,im gay i like other girls i don't freaking care who knows anymore but if you're going to say something about it say it to my face,RT @MelissaStetten: The only thing #NoBraDay does is sexualize breast cancer. People are fucking idiots.,california,1
Melanie,"((( en français aussi ))) contests, coupons, skincare, beauty, books, pets, randomness #YUL #GoHabsGo",Shop to support @LivingBeyondBC and enter to win the @Vitabath Pink Sweepstakes #vitabathgoespink https://t.co/RFbOBAjYbf,"Montreal, Canada",2
Billy Mays here,"No I'm not asian, I'm Hispanic.",Dope: Woman Drops A Touching Song For Breast Cancer Survivors! https://t.co/8gii2g4XdU,"Riverside, CA",0
Central YMCA of SV,"We are the Central YMCA of Silicon Valley located on the historical The Alameda. We're here for youth development, healthy living and social responsibility.",#CentralYMCASV staff and members wore pink today to support breast cancer awareness and early detection. #ymcasv https://t.co/kmQeMs9rpt,"San Jose, CA",2
Janice,"Loves God, Family,  Music,  Soccer, Books, Food and Freebies!",How to be there for someone with breast cancer. #Sponsored - https://t.co/mwJjPvzBGe https://t.co/eC50EBWJHt,New York ,1
Ashley Weaver,"Absolutely awkward, proudest of nerd & geek, decreaser of world sucking.",How to be there for someone with breast cancer. #Sponsored - https://t.co/Pb5XSj3wyT https://t.co/99AP2EytAn,"Orlando, Florida",0
Dr. Christine Handy,Proud Principal of GHS where Trojan Pride is on the Rise!,GHS poms dedicate their halftime show to Breast Cancer survivors. https://t.co/vzjDC1HVoZ,Gaithersburg High School,1
Psychology Tip,All around psychology!,"Public service announcement: No, drinking your own urine will not cure breast cancer [Respectful... https://t.co/Yit6ojRDbl",USA,2
fatdejon,nola,RT @curryproduction: BREAST CANCER  Patients Just know your not Alone ✊🏽🎀💝💗 https://t.co/Sr0HLOzZGZ,"Houston, TX",2
kie ☼,bitchin'.                                                                                            cello ❤️,why is showing support for breast cancer a bad thing?,"Napa, CA",-1
Invision Sally Jobe,"With 13 locations in Metro Denver, Invision Sally Jobe offers a range of medical imaging services, including MRI, CT, X-ray, ultrasound, mammography and more.",A breast radiologist and #breastcancer survivor diagnosed at 30 share concerns about new ACS screening guidelines: https://t.co/uFhWErqaos,"Denver, CO",2
TYEDbydede,Designer-TYED by dede- Pre-Order your bowtie before our  2K14 launch via orders@tyedbydede.com- Accessorize your occasion...Get TYED up!,Catch @tyedbydede tonight featuring comedian @kareemgreen celebrating the fight against breast cancer… https://t.co/EuNgtGVFDX,New York,2
BINDU,BINDU Studios is the workshop of freelance illustrator BINDU,"Hey my local sensitive artists out there,
I am doing a fundraiser for breast cancer awareness this… https://t.co/15AoIR9rTX",SF Bay Area,2
Pinnacle_Health,"PinnacleHealth is the leading non-profit #healthcare system in Central #PA providing expert care for your heart, back, cancer, family & more.","Listen to Beth, breast cancer survivor, talk about the importance of thinking positive throughout treatment. https://t.co/PvaHSH3VZg","Harrisburg, PA",2
Stephanie Haile,Mom of 3. Love all animals. Hate Seaworld or other aquariums that holds whales or dolphins. Never eat at KFC.,How to be there for someone with breast cancer. #Sponsored - https://t.co/WmdxfHnQQq https://t.co/1vr6BAFKWV,"Columbia, SC",1
chrystal bannister,,How to be there for someone with breast cancer. #Sponsored - https://t.co/9ZPB6iHYmt https://t.co/A08JflYzPd,baldwin,-1
Andrea,"I ❤️ trying products & reviewing them, teaching, flowers, art, music, animals, & the New England Patriots. Use my FabFitFun $10 off code. http://t.co/AbPJSGOB57",How to be there for someone with breast cancer. #Sponsored - https://t.co/GoI4rtyMzJ https://t.co/NvjynyvwCt,Illinois,1
Holly Brook Lanning,I love to sing and to be in the fire department . my friends and family comes first no matter what . I am a sweet person ya'll just have to get to know me :),Dying my hair pink for breast cancer,lexington NC,1
rabon.,"Comedian, writer, skater, dishwasher.","Go back in time and treat Klara Hitler for breast cancer early on. Then her son could continue to mooch off her while he worked on his ""art""","Austin, Texas",-1
JayZOverrated,yung slutty,"RT @Claravera_: For my sister, aunt,&amp;cousins. Breast cancer isnt sexy.its not about  the boobs its about saving my loved ones. https://t.co…","Louisiana, USA",-1
Gil Tyree,Anchor for Local 24 and CW Sports.,Helping the Shelby County Chapter of Delta Sigma Theta promote Breast Cancer Awareness Telethon… https://t.co/t2sZNVvzc1,"Memphis, TN",-1
inadequate,BOO!,"For my sister, aunt,&amp;cousins. Breast cancer isnt sexy.its not about  the boobs its about saving my loved ones. https://t.co/oUezs1lDHn",Mars,-1
Deanna norris,,How to be there for someone with breast cancer. #Sponsored - https://t.co/WOBKD3At14 https://t.co/SVPW1z0A8z,"Hillsboro, Ohio",1
Linda Miller,,How to be there for someone with breast cancer. #Sponsored - https://t.co/1fclghqa15 https://t.co/VKcwvYpdvE,"Toledo, Ohio",1
Nathan Johnstone,SHS senior,And breast cancer,"Lake Tapps, WA",0
Once Upon A Child ,"We buy and sell gently used kids stuff: toys, clothes & equipment. 75 Bayly St West, Ajax",25% off everything this weekend. We will donate a portion of every sale to the Canadian Breast Cancer Foundation.... https://t.co/RZWp06GpGT,"AJAX, Ontario (75 Bayly St W)",2
Laura R,Sharing how I get on in life after cancer treatment.,Metastatic Breast Cancer Trial search launched! #bcsm #dontignorestagefour https://t.co/lilnb3G9cf,"Toronto, ON Canada",1
Boston College BRCA,"Dr. Sharlene Hesse-Biber is leading a groundbreaking BRCA study through an online, confidential survey. Let your voice be heard! Contact hesse@bc.edu","YOU CAN SAVE A LIFE... LET YOUR STORY BE TOLD...
 MEN Get breast cancer too!",Boston College,2
Matthew Evans,Tv enthusiast. Explorer. Evil thinker. Communicator. Devoted social media geek. Friend of animals everywhere.,How to find the best #BreastCancer info https://t.co/LobyuYHVUf https://t.co/LoDPBYRpub,USA,0
Lois Lane,"MISFIT, MISLED, MISUNDERSTOOD Behold, It's Miss Lady! Quote:It's not WHO you are, or WHAT you have, but it's how you treat  MY HEART..Selah. I Love You",Black Women and Breast Cancer: Disparities Continue - https://t.co/HxbvZaIdRG #LadyLove,"Long Island, NY",-1
Daniel Arakaki,Makeup Artist ✦ Love promoting authors ✦ Beer drinking coffee junkie ✦ Detox Specialist ✦ Paranormal romancer,How to find the best #BreastCancer info https://t.co/z2xU1AFmSG https://t.co/qXLijzwwOn,USA,0
Maria Gonzalez,Total internet fanatic. Freelance coffee buff. Tv evangelist. Friendly alcohol practitioner. Student. Food scholar. Hardcore writer.,How to find the best #BreastCancer info https://t.co/1UxTzfONf2 https://t.co/FTanNVNksK,USA,1
✨Julz,Walking in God's Light... #TeamJesus #WHNP #Activist #HBCUGrad #Producer #ParadigmShifter #ARRAYMaverick/Rebel Lover of #BlackIndieFilm IG: @JulzWHNP13,RT @EBONYMag: Actress @nessabcalloway opens up and shares her own breast cancer survival story: https://t.co/BedyGATrgH https://t.co/4dae8i…,Gypsy,-1
Jamie Harrington,Have a nice day and watch out for the big yellow chicken.,DIY Pink Ribbon Cookies for Breast Cancer Awareness Month #breastcancer #pink #pinkribbon https://t.co/w5REmAuAKL https://t.co/p7mF6hX5Bo,"Denton, Texas",-1
SimplisticallyLiving,Mom of 2 boys. Wife of Gamer. Creative Crafter. Geek Goddess. Coffee Addict. Lover of All Things Chocolate!,DIY Pink Ribbon Cookies for Breast Cancer Awareness Month #breastcancer #pink #pinkribbon https://t.co/MK5tyjek6v https://t.co/LvDjd0Vurf,Utah,1
Kids Activities Blog,Tired of bored kids?  We solve that problem with things you already have around the house.  Stop by for simple things to do with your kids & resources for YOU.,DIY Pink Ribbon Cookies for Breast Cancer Awareness Month #breastcancer #pink #pinkribbon https://t.co/m85hOxndic https://t.co/gMV4hsIjnb,United States,2
Jade Leggett,,"@MarkusFeehily my sis is in hospital she has stage 4 breast,bone&amp;liver cancer. Blood is dangerously low. A visit would make her smile! :)","Portsmouth, England",1
Dave Elmore,,RT @MMARoadHog: #FOLLOW and #Support @MomsWhoKick foundation. They're dedicated to raising funds for breast cancer research and in support …,"Tampa, FL",0
Tracey,"Magazine editor living the dream. Specialist subjects: celebs, Cosmos, wine and working out. Proud to be a woman, with no regrets!","RT @BestMagDaily: @BCCare #theshow with @qvcuk for the start of Breast Cancer Awareness Month. Such a wonderful, inspiring event",Surrey & London,1
Andi Greynolds,http://t.co/1OJTjZAkqb,Photo: lierdumoa: bitch-media: lianamaris: Things that cannot screen for breast cancer and things that can.... https://t.co/BAKzu2vM9x,michigan,0
Kanesha❤️,iG: amour_kanesha ; SC: kanesha_harris,"RT @BenThomasPreps: Vigor safety Julius Horne standing tall as mother battles breast cancer
https://t.co/EBY69MPehF","Bay Minette, AL",-1
eddie gabriel,"Jesus, Sports, Stocks, Music, and The Journey towards The Kingdom","@HelenYeeSports 
My Mom is Breast Cancer survivor, Thank U Helen","West Haven, Ct and Las Vegas",-1
The Flatwater,"Dine | Unwind | Relax
HAPPY HOUR 7 days week 4-6 & 9-Close
Weekend Delicious Brunch 
 Sun 8-2, Catering",Congrats Team Resilience in their efforts to make strides against Breast Cancer. We're proud to support community! https://t.co/6NnmTYVnvp,"801 R Street, Lincoln, NE 6850",2
Julie Duncan,@PwC_AU Human Capital Talent Acquisition leader. My views are my own.,"RT @CancerAustralia: ""Breast cancer is not just an older woman's disease"" CEO Helen Zorbas speaking at #CApinkribbon https://t.co/2DmTcOx2ae",Melbourne Australia,1
Christian Laughland,Dauphin Kings (MJHL) play-by-play & Sports Director at 730 CKDM. Tweets are my own and don't necessarily reflect the opinions of the Dauphin Kings or CKDM.,Parkland Rangers Breast Cancer Awareness Jerseys might need to be worn more often #goodcolours #MMHL https://t.co/Hnar5dYv3l,Dauphin Manitoba,0
VReeseMD,"Live Sundays 5-6 pm EST on BLIS. FM. 202 652-0708. @ the intersection of #health, #wellness,and #music.Tweets Not Medical Advice. Retweets not an endorsement",Did you know that a family history of breast cancer significantly increases your risk of developing breast cancer? https://t.co/whmlKtv71w,"Washington, DC",2
CreativeR&D,CR&D is a London based agency that focuses on the research and development of creative ideas for implementation into marketing strategies.,RT @ModernScotsman: St Michael's Mount turns pink to support Breast Cancer Awareness in UK https://t.co/04Hi6nAzKY,"65 Whitechapel Road, London",2
Kristine M Smith,"Professional Copywriter, Author, and Former Assistant to Actor DeForest Kelley",Researchers Find Promising Therapy For ‘Treatment-Resistant’ Breast Cancer https://t.co/mS1bGm3Nzg,Tacoma WA,1
boobstagramm,"Show her breasts on the web is right, show them to the doctor is better!   photo : boobstagramm@gmail.com",How to support breast cancer survivor - The News Journal https://t.co/HNzkPU1bug,Los Angeles,2
Tyson Escobar,"Father, Teacher, Coach and Team Leader",RT @rickymiranda99: Come out at watch us play tomorrow at 7 for our senior night! Be sure to wear pink for breast cancer awareness @pondero…,"Cameron Park, CA",2
Mo,THS '16 ⚽️,"RT @StucoTomball: Remember this week is red ribbon week, TOMORROW IS PINK OUT, support breast cancer survivors and honor the lost 💞💋💅🏼🌺🌸🎀💟💗…","Tomball, TX",-1
Tao Day Spa,"Tao Day Spa - Richmond, BC, Canada - organic skin care products, natural organic makeup, thai treatments, medi-pedis & luxurious facials in Steveston, Richmond",Pink toes and ribbon in support of Breast Cancer Awareness Month https://t.co/56MqaOhQs8,"3900 Bayview St, Richmond, BC",2
Matt Maran,Stand Up Comedian. Comedy Writer. Security Supervisor. Barista (I feel like a big pussy everytime I say that). Was barely a pro wrestler. #NoSleeves,The Deadman The Undertaker vs a bloodied beast Brock Lesnar... with a pink ring rope because breast cancer #HIAC,"New York, NY",0
Sueann,"Fought for civil rights and equal rights in my teen's and 20's, cannot believe I have to do it all over in my 70s.","Don’t worry your pretty head about breast cancer
https://t.co/gV7JkPnwp7",USA,0
HumanProgress.org,"Documenting the improving state of the world with data, charts & maps. A project of the @CatoInstitute.",Breast cancer takes fewer women's lives in developed countries. https://t.co/Xqdp0OaKpY #health #progress https://t.co/42hXkI9U9H,Washington DC,2
trishden,"Because my home, my life, my landscape... is a work in progress.",I just entered to win a Vitamix Blender from @nickicoupons and @SaintAgnesMD https://t.co/ABOpdixEGl,United States,-1
 Harvey Beaudet,Bestselling author ✪ Outdoor adventurer ✪ Blogger ✪ Semiotics ✪ Bartender,How to find the best #BreastCancer info https://t.co/kylKimv8d8 https://t.co/u4JpLjpwwG,USA,0
ian,"Snowboarder. Risk-taker. #MSU18. Proceeds the Weedian, Nazareth. Bane of the demon lord. Slayer of the spider-priests. Spiller of the  silver blood.",RT @AlexWalkerABC9: Special moment. @Csundquist13 scored GW goal last night with mom in attendance. His mother is fighting breast cancer ht…,MSU University EL Lansing,0
Tao Day Spa,"Tao Day Spa - Richmond, BC, Canada - organic skin care products, natural organic makeup, thai treatments, medi-pedis & luxurious facials in Steveston, Richmond","Late post of this super cute and simple pedicure in support of Breast Cancer Awareness Month!

We love the... https://t.co/HhzxrD5aw2","3900 Bayview St, Richmond, BC",2
Rushi Desai,Don't ever stop. Just Rush through life.,"RT @MattJ_onNFL: Cowboys going to keep enabling and condoning Greg Hardy's behavior. 

While hoping women buy pink breast cancer awareness …","Chicago, IL",0
Elizabeth Morris,Dr. Morris is Chief of Breast Imaging Service at MSKCC and President of Society of Breast Imaging. Her posts may not reflect the opinions of either group.,"This is fab!
Don’t worry your pretty head about breast cancer: https://t.co/xLlZ4Sp1vW","New York, NY",1
C.M.O.B,"Cultural Men of Business was founded Feb. 14, 2014 on Langston University's campus in Langston, Oklahoma.Growth & Success of all male minorities is our purpose.","Pink and Black Week starts tomorrow 
Kicking off the week with a nice walk to support Breast Cancer… https://t.co/EcDQ43Jcvu","Langston, Oklahoma ",2
Tony Roy,"That guy from your hockey pool, or that you golfed with that time, or from politics. CEO of the BC Non-Profit Housing Association @BCNPHA",RT @tamarataggart: Too many friends of mine have had breast cancer &amp; they are all under 45. You'll see me soon @DrPaulaGordon ! https://t.c…,"Kitsilano, Vancouver",0
KSTP,"KSTP-TV Channel 5, the upper Midwest's first commercial television station, is owned by the pioneering broadcasting company Hubbard Broadcasting, Inc.",Inside Your Health: Response to new breast cancer screening guidelines https://t.co/D5HaDBuuql,Twin Cities | Minnesota,2
Dr. Nimmi Kapoor,Fellowship-trained Breast and Thyroid Surgical Oncologist with @Breastlink Tweets ≠ practice.,Patients don't realize just how much they inspire us @RavenQuinnMusic finds focus in breast cancer nightmare - https://t.co/4JmPWm8P5r,"Orange County, California",1
Emma's Cafe Minyip,"Emma's Cafe & Takeaway 
Country cooking in a cosy atmospere",Emma's Cafe need you to have a coffee with us help support Breast Cancer Crusade ☕️🍰 @Wim_Mail_Times https://t.co/0N5CrtYvic,76 Main Street Minyip Victoria,2
Normand Bourque Jr,"Avid @NHLBruins fan and #outdoors person, from New Hampshire, love #hiking, #biking #Softball #Hockey",Manchester 'Making Strides Against Breast Cancer' walk continues to grow: People gathered ... https://t.co/nPPfRqpn7p #NewHampshire #News,Manchester NH,0
NEP,"i am who i am ;P
#Traveller
#BackPacker
#Adventurer","Cotton candy for breast cancer awareness day in the office.

#cottoncandy
#pink
#sweettooth https://t.co/1wHIkA3bWA",island in the southeast,-1
MarkM,"Imaginator, conversator, innovator, and part time instigator. Conservative sci-fi/Fantasy geek. Proud Kentuckian by birth,happy Floridian by choice.",Gnomerun for Breast Cancer 2015...Scarlet Crusade server https://t.co/UlUrjBFunQ,Sunny Florida,0
Trey Hannah,Conservative Christian Patriot. 3%'er For Life - 3%'er Till Death,Covering Up The Causes of Breast Cancer Since 1985: AstraZenecas BCAM https://t.co/7ykc7S5ePd  via @3tags_org #PJNET,"Georgia, USA",-1
